Diputado,sexo,nacimiento2,edad,estadocivil,religion,Distrito (id),Fuerza,Distrito(nombre),Inicia mandato,Finaliza mandato,Bloque,Twitter,JuroPor,JuramentoEspecial,PosicionFrenteAlAborto,Fuente,Comentarios,,,
"Abdala De Matarazzo, Norma Amanda",M,13/4/1948,70,Casada,Católica,86,otros,Santiago del Estero,10/12/2017,09/12/2021,FRENTE CIVICO POR SANTIAGO,,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.elliberal.com.ar/noticia/401744/mayoria-legisladores-santiaguenos-votara-contra-despenalizar-aborto,,,,
"Acerenza, Samanta Maria Celeste",M,28/2/1980,38,Divorciada,Atea,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@samantaacerenza,La Patria,,A Favor,https://docs.google.com/spreadsheets/d/1mOiTT3JIdQPxVLTQ-a3OivQqE15oLvdWMv6I_DpMZak/edit?usp=sharing,http://www.parlamentario.com/noticia-107828.html,,PARA DEJAR COMENTARIO,
"Aicega, Juan",V,15/6/1963,54,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@jaicega,"Dios, la Patria y los Santos Evangelios",,En Contra,http://infobrisas.com/nota.php?id=11485,,,CLICK + BOTON DERECHO ,
"Allende, Walberto Enrique",V,09/06/1955,62,No contesta,NO CONTESTA,70,pj,San Juan,10/12/2017,09/12/2021,TODOS JUNTOS POR SAN JUAN,,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.tiempodesanjuan.com/politica/2018/2/23/juan-unnime-diputados-nacionales-contra-aborto-207118.html,,,en donde quieras :),
"Alonso, Laura V.",M,26/4/1977,41,Casada,NO CONTESTA,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@lauValonso,La Patria,,A Favor,http://www.abortolegal.com.ar/proyecto-de-ley-presentado-por-la-campana/,http://www.parlamentario.com/noticia-107828.html,,,
"Alume Sbodio, Karim Augusto",V,31/3/1981,37,Casado,Católica,74,otros,San Luis,10/12/2017,09/12/2021,UNIDAD JUSTICIALISTA,,Dios y la Patria,,En Contra,https://www.clarin.com/politica/adolfo-rodriguez-saa-confirmo-iglesia-rechazo-despenalizacion-aborto_0_HyHgX_tKG.html,,,,
"Alvarez Rodriguez, Maria Cristina",M,28/12/1967,50,Divorciada,Católica,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@CrisAlvarezRod,"Dios, la Patria y los Santos Evangelios",,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Amadeo, Eduardo Pablo",V,5/1/1947,71,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@eduardoamadeo,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Ansaloni, Pablo Miguel",V,,,No contesta,Cristiana,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@pabloansaloni,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html,,,,
"Arce, Mario Horacio",V,6/11/1975,42,Soltero,Católica,34,cambiemos,Formosa,10/12/2017,09/12/2021,UCR,@MarioArce_,Dios y la Patria,,En Contra,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html ,,,,
"Arroyo, Daniel Fernando",V,6/10/1966,51,Casado,Católica,06,pais,Buenos Aires,10/12/2017,09/12/2021,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@LicDanielArroyo,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.letrap.com.ar/nota/2018-2-23-18-37-0--abortolegal-el-gobierno-juega-con-fuegos-artificiales-en-el-congreso,,,,
"Austin, Brenda Lis",M,11/10/1981,36,Soltera,Agnóstica,14,cambiemos,Córdoba,10/12/2017,09/12/2021,UCR,@brendalisaustin,la Constitución Nacional ,,A Favor,http://www.lavoz.com.ar/node/1149791,http://www.parlamentario.com/noticia-107828.html,,,
"Avila, Beatriz Luisa",M,,,No contesta,NO CONTESTA,90,cambiemos,Tucumán,10/12/2017,09/12/2021,PARTIDO POR LA JUSTICIA SOCIAL,@Beatriz_AvilaOK,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.youtube.com/watch?v=xcHit9MZ4aI,,,,
"Ayala, Aida Beatriz Maxima",M,28/6/1953,64,Divorciada,Católica,22,cambiemos,Chaco,10/12/2017,09/12/2021,UCR,@AidaAyala,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.google.com/url?q=http://www.diariochaco.com/noticia/aida-ayala-por-mi-formacion-digo-si-la-vida-no-al-aborto-pero-hay-que-debatir&sa=D&ust=1519528349146000&usg=AFQjCNHwTNp4HSPcH3Sq3JT7dFcexvRFAw,,,,
