"","Provincia","Year","ENPpos","ENPbln"
"1","Buenos.Aires",1983,2.253,2.253
"8","Capital.Federal",1983,2.04,2.04
"15","Catamarca",1983,2.427,2.427
"22","Chaco",1983,2.234,2.234
"29","Chubut",1983,2.315,2.315
"36","Córdoba",1983,2.102,2.102
"43","Corrientes",1983,3.39,3.39
"50","Entre.Ríos",1983,2.265,2.265
"57","Formosa",1983,2.766,2.766
"64","Jujuy",1983,2.631,2.631
"71","La.Pampa",1983,2.818,2.818
"78","La.Rioja",1983,2.096,2.096
"85","Mendoza",1983,2.133,2.133
"92","Misiones",1983,2.108,2.108
"99","Neuquén",1983,2.965,2.965
"106","Río.Negro",1983,2.236,2.236
"113","Salta",1983,2.449,2.449
"120","San.Juan",1983,3.202,3.202
"127","San.Luis",1983,2.427,2.427
"134","Santa.Cruz",1983,2.176,2.176
"141","Santa.Fe",1983,2.286,2.286
"148","Santiago.del.Estero",1983,2.455,2.455
"155","Tierra.del.Fuego",1983,2.449,2.449
"162","Tucumán",1983,2.265,2.265
"169","Total",1983,2.437,2.437
"2","Buenos.Aires",1989,2.9,2.9
"9","Capital.Federal",1989,3.438,3.438
"16","Catamarca",1989,2.143,2.143
"23","Chaco",1989,2.375,2.375
"30","Chubut",1989,3.181,3.181
"37","Córdoba",1989,2.605,2.605
"44","Corrientes",1989,3.079,3.079
"51","Entre.Ríos",1989,2.364,2.364
"58","Formosa",1989,1.996,1.996
"65","Jujuy",1989,3.851,3.851
"72","La.Pampa",1989,2.402,2.402
"79","La.Rioja",1989,1.906,1.906
"86","Mendoza",1989,3.155,3.155
"93","Misiones",1989,2.329,2.329
"100","Neuquén",1989,3.326,3.326
"107","Río.Negro",1989,2.47,2.47
"114","Salta",1989,3.239,3.239
"121","San.Juan",1989,3.131,3.131
"128","San.Luis",1989,2.426,2.426
"135","Santa.Cruz",1989,2.236,2.236
"142","Santa.Fe",1989,2.587,2.587
"149","Santiago.del.Estero",1989,3.382,3.382
"156","Tierra.del.Fuego",1989,3.038,3.038
"163","Tucumán",1989,3.433,3.433
"170","Total",1989,2.791,2.791
"3","Buenos.Aires",1995,2.652,2.652
"10","Capital.Federal",1995,3.494,3.494
"17","Catamarca",1995,2.541,2.541
"24","Chaco",1995,3.766,3.766
"31","Chubut",1995,3.072,3.072
"38","Córdoba",1995,3.202,3.202
"45","Corrientes",1995,3.668,3.668
"52","Entre.Ríos",1995,2.898,2.898
"59","Formosa",1995,2.703,2.703
"66","Jujuy",1995,4.697,4.697
"73","La.Pampa",1995,2.75,2.75
"80","La.Rioja",1995,1.638,1.638
"87","Mendoza",1995,2.64,2.64
"94","Misiones",1995,2.44,2.44
"101","Neuquén",1995,3.83,3.83
"108","Río.Negro",1995,2.786,2.786
"115","Salta",1995,4.241,4.241
"122","San.Juan",1995,3.327,3.327
"129","San.Luis",1995,2.502,2.502
"136","Santa.Cruz",1995,2.386,2.386
"143","Santa.Fe",1995,3.341,3.341
"150","Santiago.del.Estero",1995,2.174,2.174
"157","Tierra.del.Fuego",1995,2.259,2.259
"164","Tucumán",1995,3.857,3.857
"171","Total",1995,3.036,3.036
"4","Buenos.Aires",1999,2.851,2.851
"11","Capital.Federal",1999,2.791,2.791
"18","Catamarca",1999,2.201,2.201
"25","Chaco",1999,2.406,2.406
"32","Chubut",1999,2.402,2.402
"39","Córdoba",1999,2.936,2.936
"46","Corrientes",1999,4.802,4.802
"53","Entre.Ríos",1999,2.3,2.3
"60","Formosa",1999,2.163,2.163
"67","Jujuy",1999,2.195,2.195
"74","La.Pampa",1999,2.267,2.267
"81","La.Rioja",1999,2.136,2.136
"88","Mendoza",1999,2.63,2.63
"95","Misiones",1999,2.341,2.341
"102","Neuquén",1999,2.676,2.676
"109","Río.Negro",1999,2.342,2.342
"116","Salta",1999,2.397,2.397
"123","San.Juan",1999,2.434,2.434
"130","San.Luis",1999,2.3,2.3
"137","Santa.Cruz",1999,2.457,2.457
"144","Santa.Fe",1999,3.755,3.755
"151","Santiago.del.Estero",1999,3.214,3.214
"158","Tierra.del.Fuego",1999,2.932,2.932
"165","Tucumán",1999,2.44,2.44
"172","Total",1999,2.64,2.64
"5","Buenos.Aires",2003,6.608,6.608
"12","Capital.Federal",2003,5.946,5.946
"19","Catamarca",2003,4.064,4.064
"26","Chaco",2003,4.693,4.693
"33","Chubut",2003,3.238,3.238
"40","Córdoba",2003,6.495,6.495
"47","Corrientes",2003,5.436,5.436
"54","Entre.Ríos",2003,6.41,6.41
"61","Formosa",2003,4.207,4.207
"68","Jujuy",2003,4.23,4.23
"75","La.Pampa",2003,6.208,6.208
"82","La.Rioja",2003,1.622,1.622
"89","Mendoza",2003,6.297,6.297
"96","Misiones",2003,5.384,5.384
"103","Neuquén",2003,5.942,5.942
"110","Río.Negro",2003,4.775,4.775
"117","Salta",2003,3.771,3.771
"124","San.Juan",2003,5.165,5.165
"131","San.Luis",2003,1.3,1.3
"138","Santa.Cruz",2003,1.588,1.588
"145","Santa.Fe",2003,6,6
"152","Santiago.del.Estero",2003,2.963,2.963
"159","Tierra.del.Fuego",2003,3.604,3.604
"166","Tucumán",2003,5.456,5.456
"173","Total",2003,4.642,4.642
"6","Buenos.Aires",2007,3.30796109,3.953
"13","Capital.Federal",2007,4.106836906,4.43
"20","Catamarca",2007,2.86069059,3.191
"27","Chaco",2007,2.946387131,3.137
"34","Chubut",2007,2.073943009,2.266
"41","Córdoba",2007,4.167736748,4.588
"48","Corrientes",2007,2.690955531,3.122
"55","Entre.Ríos",2007,3.465586157,3.742
"62","Formosa",2007,1.730716223,1.995
"69","Jujuy",2007,2.185547568,2.738
"76","La.Pampa",2007,3.261200977,4.243
"83","La.Rioja",2007,2.995097712,3.792
"90","Mendoza",2007,2.362905153,2.854
"97","Misiones",2007,1.946944474,2.481
"104","Neuquén",2007,4.164084988,5.03
"111","Río.Negro",2007,2.690043792,2.962
"118","Salta",2007,1.683103016,1.967
"125","San.Juan",2007,2.457732108,2.661
"132","San.Luis",2007,2.020247216,2.164
"139","Santa.Cruz",2007,1.955318914,2.213
"146","Santa.Fe",2007,3.620600029,3.964
